h_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02
401091020002042,26,5,11,10,14,6,6,0,1,0,0,3,2,1,0,0,1,0,3,0,1,5,3,1,4,0,1,21,2,3,0,0,0,15,11,5,3,7,6,7,19
401091020002043,22,6,12,4,3,12,7,0,1,0,4,0,0,3,0,1,0,1,0,1,2,2,1,1,4,0,1,13,5,0,0,0,4,19,3,3,4,6,3,11,11
401091020002044,26,6,16,4,6,13,7,0,0,0,2,1,2,1,0,2,1,0,2,1,3,3,2,1,3,2,0,12,13,0,0,0,1,23,3,2,7,8,3,13,13
401091020002045,12,8,3,1,4,7,1,0,1,0,0,3,0,1,1,1,0,0,1,0,0,0,3,0,0,1,0,7,0,3,0,0,2,11,1,0,3,1,0,8,4
401091020002046,10,4,6,0,4,2,4,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,0,2,1,1,7,0,2,0,0,1,10,0,0,2,2,2,5,5
401091020002047,12,4,7,1,3,2,7,0,0,0,1,0,0,1,1,0,1,0,0,1,2,0,2,0,1,0,2,8,4,0,0,0,0,12,0,0,3,5,0,7,5
401091021001000,18,3,10,5,4,4,10,0,0,0,0,0,1,3,1,1,0,0,2,1,1,1,4,0,2,1,0,16,1,0,0,0,1,18,0,1,3,7,4,8,10
401091021001004,4,3,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,1,0,0,0,0,4,0,0,1,0,0,2,2
401091021001005,8,3,5,0,2,2,4,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,2,0,0,0,0,6,1,0,1,0,0,8,0,1,1,3,0,4,4
401091021001006,11,2,7,2,4,4,3,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,1,1,2,0,1,9,1,1,0,0,0,11,0,1,5,1,2,5,6
401091021001007,20,5,11,4,6,7,7,0,0,0,0,1,2,0,1,0,1,0,1,0,2,5,4,1,1,0,1,13,5,1,0,0,1,16,4,3,5,4,3,10,10
401091021001009,8,3,4,1,5,2,1,0,0,0,0,0,0,3,0,0,0,0,1,0,1,1,1,0,0,1,0,4,1,2,0,0,1,8,0,0,2,3,0,6,2
401091021001010,24,5,18,1,5,9,10,0,0,0,0,1,1,2,1,0,1,0,0,1,3,3,6,0,3,1,1,17,3,1,1,0,2,19,5,2,3,9,5,15,9
401091021001011,17,3,10,4,5,3,9,0,1,0,1,1,0,2,0,2,0,0,1,0,1,2,4,1,1,0,0,14,2,0,1,0,0,15,2,5,3,4,2,10,7
401091021001012,4,2,0,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,1,0,0,0,4,0,0,1,1,0,3,1
401091021001013,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
401091021001017,7,0,7,0,1,4,2,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,6,1,0,0,0,0,7,0,2,0,2,3,2,5
401091021001018,21,5,11,5,2,4,15,0,0,0,3,0,0,1,1,1,2,2,2,1,1,0,2,0,3,1,1,21,0,0,0,0,0,19,2,4,2,8,2,14,7
401091021001019,24,8,9,7,6,8,10,0,1,1,2,0,1,0,3,0,1,1,2,1,2,4,0,0,2,2,1,22,1,1,0,0,0,22,2,2,3,5,6,12,12
401091021001020,26,10,9,7,9,7,10,0,1,0,2,1,0,3,0,1,2,0,7,0,1,0,5,0,3,0,0,26,0,0,0,0,0,25,1,0,3,7,6,12,14
401091021001021,12,2,9,1,3,4,5,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,2,1,2,0,2,10,0,1,1,0,0,8,4,3,2,4,1,8,4
401091021001022,16,5,8,3,0,7,9,0,1,0,0,0,1,1,1,0,1,0,0,0,2,1,4,0,3,0,1,14,0,1,0,0,1,15,1,2,0,6,3,12,4
401091021001025,24,7,12,5,5,6,13,0,2,2,0,2,2,1,0,0,2,0,0,1,3,2,3,1,2,0,1,17,1,5,0,0,1,21,3,1,2,9,5,7,17
401091021001026,19,2,13,4,2,7,10,0,1,0,0,0,2,5,0,0,0,0,2,0,1,2,4,0,1,1,0,12,1,1,5,0,0,18,1,2,4,6,5,9,10
401091021001028,5,1,1,3,2,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,0,0,0,0,5,0,2,2,0,0,3,2
401091021001029,20,6,9,5,2,10,8,0,0,0,2,1,1,1,0,1,0,0,1,1,2,3,4,1,1,1,0,19,0,0,0,0,1,12,8,4,3,4,3,15,5
401091021001030,7,1,3,3,2,3,2,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,2,0,0,0,0,4,0,3,0,0,0,7,0,0,2,2,2,3,4
401091021001031,14,6,6,2,6,2,6,0,1,0,0,0,0,1,0,1,0,0,0,0,3,3,3,0,1,0,1,9,5,0,0,0,0,11,3,1,2,4,1,9,5
401091021002000,16,5,10,1,5,5,6,0,0,0,1,1,0,2,0,0,0,0,1,0,1,2,2,1,2,1,2,16,0,0,0,0,0,16,0,0,2,3,6,5,11
401091021002001,19,5,12,2,5,7,7,0,1,0,1,1,2,1,2,0,0,1,2,0,2,1,2,0,1,1,1,17,0,2,0,0,0,19,0,3,3,3,5,10,9
401091021002002,14,2,10,2,2,5,7,0,0,0,2,0,1,1,1,1,1,0,2,0,1,1,1,0,0,0,2,13,1,0,0,0,0,14,0,0,6,3,3,10,4
401091021002003,28,9,15,4,6,14,8,0,2,0,1,1,3,3,0,1,0,0,1,0,0,3,6,0,3,2,2,23,3,0,0,0,2,28,0,0,7,6,6,13,15
401091021002004,20,4,11,5,3,3,14,0,1,0,0,1,1,2,0,0,3,0,2,2,0,2,3,0,2,0,1,19,1,0,0,0,0,19,1,0,4,10,2,10,10
401091021002005,20,4,13,3,5,4,11,0,0,1,1,0,2,2,1,0,0,3,1,2,1,0,1,1,3,1,0,18,0,1,1,0,0,19,1,2,5,5,4,12,8
401091021002006,17,4,9,4,2,6,9,0,1,2,0,1,1,3,1,0,0,1,0,0,1,0,3,0,2,1,0,14,1,2,0,0,0,17,0,3,4,4,2,11,6
401091021002007,17,3,10,4,6,5,6,0,1,0,1,0,1,1,1,0,0,0,0,0,2,2,7,0,1,0,0,17,0,0,0,0,0,17,0,2,2,6,4,8,9
401091021002008,27,5,18,4,5,6,16,0,0,0,1,1,0,4,2,1,1,0,1,1,2,3,4,2,0,1,3,24,0,3,0,0,0,27,0,2,5,7,8,15,12
401091021002009,21,5,11,5,5,9,7,0,0,0,1,1,0,3,0,0,0,0,0,1,3,3,2,2,3,2,0,19,1,1,0,0,0,19,2,3,6,4,3,10,11
401091021002010,15,3,10,2,2,5,8,0,3,0,1,0,0,1,1,0,2,1,1,0,1,0,3,0,1,0,0,11,0,1,0,0,3,15,0,1,3,3,5,9,6
401091021002011,16,5,7,4,3,6,7,0,1,0,2,1,0,0,0,1,1,0,0,0,2,1,3,0,2,1,1,15,0,1,0,0,0,16,0,0,3,5,3,9,7
401091021002012,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
401091021002014,4,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,4,0,0,0,0,0,1,3,2,1,0,0,2,2
401091021002015,24,5,11,8,7,8,9,0,1,0,0,1,1,5,3,1,2,0,0,0,1,1,2,0,1,2,3,24,0,0,0,0,0,22,2,4,5,6,4,13,11
401091021002016,12,2,5,5,2,4,6,0,0,1,2,1,0,0,0,1,0,0,1,0,2,0,2,0,1,0,1,12,0,0,0,0,0,10,2,0,2,6,2,7,5
401091021002017,8,3,5,0,2,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,2,0,0,7,0,0,0,0,1,7,1,0,1,2,2,2,6
401091021002019,14,4,5,5,3,7,4,0,0,0,0,1,1,1,0,0,0,0,0,1,1,2,3,0,3,0,1,13,0,0,1,0,0,13,1,1,3,2,4,10,4
401091021002020,23,5,11,7,10,5,8,0,2,1,0,1,2,3,0,0,0,1,1,0,1,4,1,0,2,1,3,18,3,1,0,0,1,23,0,2,6,5,5,15,8
401091021002021,24,10,9,5,7,10,7,0,0,0,1,1,1,1,2,0,2,0,0,2,3,1,3,0,4,1,2,21,0,0,0,0,3,13,11,4,7,2,1,15,9
401091021002022,17,3,9,5,6,6,5,1,1,1,0,1,0,4,2,0,2,0,1,0,0,0,2,0,1,0,1,10,3,2,2,0,0,13,4,0,4,5,5,12,5
401091021002023,17,3,12,2,4,7,6,0,1,0,0,3,0,2,0,0,2,0,1,1,2,2,1,1,0,0,1,12,2,0,1,0,2,14,3,4,4,2,4,11,6
401091021002024,20,3,14,3,3,7,10,0,1,0,2,0,0,4,0,0,1,0,1,0,2,1,4,1,2,0,1,18,0,0,2,0,0,19,1,2,5,5,5,8,12
